  STN,YYYYMMDD,   TG,   TN,   TX,   SQ,   SP,  DR,   RH,  RHX
  251,20190701,  168,  149,  193,   64,   38,   0,    0,    0
  251,20190702,  156,  135,  189,  129,   76,   0,   -1,   -1
  251,20190703,  145,  111,  177,  111,   66,   0,   -1,   -1
  251,20190704,  158,   70,  197,  109,   65,   0,   -1,   -1
  251,20190705,  161,  106,  194,   57,   34,   0,   -1,   -1
  251,20190706,  159,  140,  177,   38,   23,   9,    1,    1
  251,20190707,  140,  114,  169,   39,   23,   2,    3,    3
  251,20190708,  136,  110,  164,   43,   26,  11,   10,    7
  251,20190709,  141,   83,  179,  116,   69,   0,   -1,   -1
  251,20190710,  146,   90,  164,    0,    0,  34,   24,    8
  251,20190711,  168,  154,  202,   12,    7,  28,   14,    8
  251,20190712,  172,  118,  212,   62,   37,   0,   -1,   -1
  251,20190713,  158,  141,  182,   26,   16,   7,    2,    2
  251,20190714,  145,  130,  168,   11,    7,   9,    6,    4
  251,20190715,  145,  132,  170,   12,    7,   0,   -1,   -1
  251,20190716,  147,  136,  161,    0,    0,   0,    0,    0
  251,20190717,  170,  137,  216,  103,   63,   0,    0,    0
  251,20190718,  178,  139,  222,   14,    9,  43,  125,   66
  251,20190719,  176,   98,  228,   78,   48,   7,   18,   14
  251,20190720,  187,  163,  216,   41,   25,  22,   41,   17
  251,20190721,  175,  127,  205,  136,   84,   0,    0,    0
  251,20190722,  195,  175,  226,   68,   42,   0,    0,    0
  251,20190723,  216,  181,  253,  149,   92,   0,    0,    0
  251,20190724,  238,  150,  314,  137,   85,   0,   -1,   -1
  251,20190725,  249,  137,  320,  105,   65,   0,    0,    0
  251,20190726,  269,  226,  322,  145,   90,   0,   -1,   -1
  251,20190727,  231,  202,  287,  140,   88,   0,    0,    0
  251,20190728,  214,  183,  267,  117,   73,   0,   -1,   -1
  251,20190729,  195,  129,  248,  118,   74,   0,    0,    0
  251,20190730,  212,  167,  273,  120,   76,   3,    3,    3
  251,20190731,  188,  159,  219,   65,   41,  22,  146,   84
  260,20190701,  180,  143,  209,  105,   63,   0,    0,    0
  260,20190702,  173,  117,  217,  120,   72,   0,    0,    0
  260,20190703,  150,   88,  202,   87,   52,   0,    0,    0
  260,20190704,  164,   66,  228,  140,   84,   0,    0,    0
  260,20190705,  188,  124,  232,  114,   69,   0,    0,    0
  260,20190706,  164,  113,  229,   54,   33,  25,   22,   11
  260,20190707,  140,   78,  181,   54,   33,   0,    0,    0
  260,20190708,  138,   79,  167,   35,   21,   3,    3,    1
  260,20190709,  147,   69,  204,  139,   84,   0,    0,    0
  260,20190710,  147,   88,  187,    2,    1,  50,   39,   12
  260,20190711,  188,  137,  238,   58,   35,   0,   -1,   -1
  260,20190712,  168,  131,  205,   27,   16,  33,  286,  131
  260,20190713,  168,  145,  197,   16,   10,  13,   23,   16
  260,20190714,  157,  137,  193,   30,   18,   2,    1,    1
  260,20190715,  155,  134,  185,   19,   12,   0,   -1,   -1
  260,20190716,  157,  108,  191,   21,   13,   0,    0,    0
  260,20190717,  175,   87,  248,  113,   70,   0,    0,    0
  260,20190718,  190,  152,  227,   36,   22,   8,    7,    3
  260,20190719,  194,  141,  243,   59,   37,   0,    0,    0
  260,20190720,  194,  163,  236,   47,   29,  31,   84,   39
  260,20190721,  185,  135,  226,   80,   50,   0,    0,    0
  260,20190722,  206,  139,  264,  119,   74,   0,    0,    0
  260,20190723,  241,  131,  319,  149,   93,   0,    0,    0
  260,20190724,  264,  166,  364,  133,   83,   0,    0,    0
  260,20190725,  288,  166,  375,  129,   81,   0,    0,    0
  260,20190726,  288,  223,  372,  111,   70,   0,    0,    0
  260,20190727,  228,  185,  288,   84,   53,   5,   22,   16
  260,20190728,  195,  163,  242,   23,   15,   0,   -1,   -1
  260,20190729,  194,  139,  251,  113,   72,   0,    0,    0
  260,20190730,  218,  123,  278,  127,   81,   0,    0,    0
  260,20190731,  181,  158,  211,   59,   38,   4,   42,   20
  350,20190701,  180,  125,  236,  130,   78,   0,    0,    0
  350,20190702,  177,  102,  234,  129,   78,   0,    0,    0
  350,20190703,  160,   96,  224,  116,   70,   0,    0,    0
  350,20190704,  170,   84,  240,  148,   90,   0,    0,    0
  350,20190705,  192,  122,  258,   93,   56,   0,    0,    0
  350,20190706,  180,  115,  257,   68,   41,  24,   16,   12
  350,20190707,  150,   88,  205,  106,   64,   0,    0,    0
  350,20190708,  137,   76,  185,   24,   15,   0,    0,    0
  350,20190709,  146,   54,  214,   77,   47,   0,    0,    0
  350,20190710,  162,  109,  211,   18,   11,   6,    2,    2
  350,20190711,  195,  138,  250,   54,   33,   0,    0,    0
  350,20190712,  166,  121,  209,   51,   31,  34,   89,   46
  350,20190713,  172,  147,  221,   36,   22,  10,   12,    8
  350,20190714,  157,   94,  189,   20,   12,   0,   -1,   -1
  350,20190715,  146,  103,  183,   16,   10,   0,   -1,   -1
  350,20190716,  165,  110,  219,   53,   33,   0,    0,    0
  350,20190717,  184,   87,  254,   86,   53,   0,    0,    0
  350,20190718,  192,  152,  232,   30,   19,   0,   -1,   -1
  350,20190719,  203,  140,  257,   64,   40,   0,    0,    0
  350,20190720,  206,  169,  261,   53,   33,  12,   39,   28
  350,20190721,  192,  144,  243,   78,   49,   0,    0,    0
  350,20190722,  216,  126,  293,  127,   80,   0,    0,    0
  350,20190723,  261,  143,  346,  147,   92,   0,    0,    0
  350,20190724,  284,  198,  392,  134,   85,   0,    0,    0
  350,20190725,  308,  172,  407,  127,   80,   0,    0,    0
  350,20190726,  277,  194,  389,   95,   60,  15,  136,  133
  350,20190727,  195,  184,  214,    0,    0,  70,  167,   54
  350,20190728,  179,  146,  191,    0,    0,  57,   47,   16
  350,20190729,  194,  127,  256,  114,   73,   0,    0,    0
  350,20190730,  221,  130,  287,  133,   85,   0,    0,    0
  350,20190731,  179,  127,  223,   34,   22,   1,    4,    4
